75,10,5,3,7,5,7,0,2,0,0,0,2,2,2,10,3,1,7,0,0,0,1,2,0,2,28,0,2,0,
12,65,0,2,1,2,12,0,2,0,0,2,3,1,2,3,9,3,11,0,0,0,0,9,0,1,17,0,1,0,
0,0,88,0,0,4,1,0,3,2,8,11,0,1,0,5,2,0,0,0,0,3,2,0,0,3,29,0,3,1,
10,2,0,99,12,0,6,1,12,0,1,0,0,0,2,11,0,1,0,1,0,0,1,1,0,0,19,1,0,0,
3,1,2,1,155,0,11,3,15,0,0,0,1,10,16,2,6,2,1,1,1,0,1,2,0,1,15,2,0,1,
4,3,7,0,0,132,2,1,3,0,2,4,0,0,0,4,1,0,6,1,0,4,4,3,0,5,70,0,1,0,
2,8,3,2,3,1,144,0,0,1,2,1,0,3,0,5,28,2,6,2,0,1,0,21,5,1,29,1,0,0,
1,4,1,3,2,3,2,177,10,1,0,3,0,0,0,4,11,4,0,0,2,0,0,2,1,5,17,0,0,0,
4,0,3,5,22,0,5,2,115,1,4,2,0,3,27,8,0,0,0,0,0,0,1,10,0,5,30,0,2,2,
2,0,0,0,0,0,1,0,0,153,1,0,0,0,0,1,0,0,0,8,0,2,0,0,1,0,10,0,1,0,
1,0,4,0,0,1,5,0,1,0,118,0,0,1,0,3,0,1,0,0,0,0,1,0,0,2,12,0,0,0,
6,1,11,1,0,1,0,2,4,0,0,168,1,3,3,3,0,0,9,0,0,2,0,0,0,0,35,0,17,0,
0,0,0,0,0,0,7,0,0,1,0,0,123,3,0,1,3,5,4,3,0,1,0,2,0,0,9,0,0,0,
4,1,0,1,21,0,9,0,1,0,1,2,2,157,12,1,3,13,10,0,0,0,0,2,0,0,11,7,1,0,
3,0,2,2,13,1,2,0,39,0,2,1,0,9,133,1,0,0,5,0,0,0,0,1,0,1,21,12,0,4,
3,7,11,4,0,2,14,5,0,0,3,5,0,0,0,144,13,0,2,0,0,1,0,2,1,2,41,1,1,0,
5,7,1,2,6,2,19,1,3,1,1,0,0,0,1,3,154,12,2,0,0,0,0,7,1,1,17,0,0,0,
3,1,2,0,2,1,1,1,0,0,0,3,3,13,1,1,8,175,13,0,1,0,0,3,0,0,11,0,4,1,
9,1,2,0,2,9,17,0,3,0,3,2,5,11,2,4,0,7,142,0,0,0,0,11,0,0,27,0,2,0,
1,0,2,0,5,0,8,1,3,5,0,0,0,0,0,1,8,0,0,177,2,0,0,2,3,7,12,0,0,2,
0,0,0,0,1,1,1,2,1,0,0,0,0,0,0,1,1,0,0,1,147,0,3,0,0,7,11,0,0,9,
2,0,7,0,1,13,0,0,0,1,6,0,0,0,0,3,0,0,0,3,0,168,2,1,1,0,35,0,1,0,
2,0,8,1,7,0,0,2,2,0,0,0,0,0,0,2,0,0,0,2,1,0,171,0,1,0,48,1,0,1,
2,8,1,0,4,10,14,1,9,2,2,0,0,0,1,4,12,1,3,7,1,0,0,116,30,19,20,0,0,0,
2,0,0,0,1,2,4,1,2,1,6,0,0,0,0,0,2,0,0,4,0,0,0,45,103,11,8,0,0,1,
1,4,3,0,2,6,1,7,23,0,0,0,0,0,0,3,4,0,0,4,1,2,3,12,6,144,36,0,0,2,
5,1,5,0,0,4,4,0,9,0,2,2,0,1,0,13,0,0,3,5,0,4,1,0,0,5,208,0,0,0,
0,1,0,0,20,0,1,0,3,0,0,2,0,14,10,3,0,6,0,0,0,0,0,1,0,2,12,87,2,1,
1,0,4,1,1,0,2,1,3,0,0,20,0,3,5,4,0,0,11,0,0,1,0,0,0,0,25,0,174,0,
0,1,1,0,7,0,0,1,3,0,1,0,0,0,12,0,0,0,1,6,10,0,2,1,1,9,16,1,0,177,
